Name,Location,Present
Brenda Maddox,Birmingham,Faith
Leyla Levy,Bristol,Charity
Eliezer Burnett,Birmingham,Faith
Yasmine Whitehead,Newcastle,Hope
Marianna Knight,Plymouth,Charity
Sherlyn Mahoney,Norwich,Fortitude
Albert Price,Bath,Hope
Amina Donovan,Birmigham,Faith
Camilla Pugh,Derby,Faith
Glenn Rhodes,Bradform,Hope
Annika Bradshaw,Stoke-on-Trent,Fortitude
Scott Peterson,Manchester,Hope
Mallory Burch,Lancaster,Faith
Rachael Church,Manchester,Charity
Aiden Davila,Sunderland,Fortitude
Jarrett Serrano,Birmingham,Fortitude
Kinsley Arroyo,Manchester,Charity
Jan Hansen,London,Hope
Itzel Mccoy,Durham,Faith
Kassandra Schultz,Glasgow,Faith
Mattie Simon,Belfast,Faith
Austin Wolfe,Edinburgh,Charity
Bradley Stanley,Exeter,Faith
Halle Griffith,Dundee,Faith
Madeline Mercer,Durham,Charity
Avah Herring,Stoke-on-Trent,Charity
Kayden Hardy,Hereford,Hope
Teresa Lara,Lincoln,Fortitude
Niko Gill,Manchester,Charity
Elena Shea,Milton Keynes,Faith
Aniyah Davila,Milton Keynes,Faith
Norah Alexander,Oxford,Hope
Jazlyn Rocha,Oxford,Hope
April Jimenez,London,Fortitude
Sachin Tata,Liverpool,Hope
Joselyn Copeland,Salford,Faith
Finley Reynolds,Portsmouth,Hope
Adelyn Bowman,Wolverhampton,Faith
Lei Booth,York,Hope
Emmanuel Macias,Perth,Fortitude
Winston Li,Cambridge,Fortitude
Caitlin Peterson,Colchester,Charity
Livia Kramer,Worcester,Faith
Trevon Fox,Coventry,Faith
Mia Robertson,Kingston upon Hull,Faith
Cassandra Fowler,Derby,Charity
Elizabeth Duncan,London,Charity
Anthony Johns,Birmingham,Hope
Paris Tipton,London,Faith
Kenyon Dixon,London,Charity
Tristin Conway,Truro,Charity
Sabrina Decker,Ely,Charity
Kumar Patel,Leicester,Faith
Sian Walters,Nottingham,Fortitude
Cheyanne Moore,Leicester,Faith
Zak O�Malley,Nottingham,Fortitude
Marley Vargas,Chester,Charity
Bailey Meadows,Wrtexham,Hope
Charlize Hoffman,London,Hope
Cheyanne Clay,London,Fortitude
Aydan Wilkerson,London,Fortitude
Payton Hester,London,Faith
Kory Odom,Birmingham,Faith
Shrusti Singh,Birmingham,Hope
Athena Mcguire,Birmingham,Fortitude
Moshe Ali,Birghton and Hove,Charity
Coby Schroeder,London,Fortitude
Xiomara Farley,Stoke-on-Trent,Hope
Colton Richardson,London,Hope
Camren Spence,Leeds,Hope
Damarion Collier,London,Fortitude
Ali Khan,Birmingham,Hope
